Colors and Descriptions,Spatial Directions and Positions,Astronomical Terms,Visualization Elements,Telescope and Instrument Names,Text and Labels,Measurement and Data,Direction and Movement,Quantitative Terms,Other Terms
1,1,1,0,0,0,0,1,0,1
1,1,1,0,0,0,0,1,1,0
1,1,1,1,1,1,0,1,1,0
1,1,1,0,0,0,1,1,1,1
1,1,1,1,0,0,0,1,1,1
1,0,1,1,0,1,0,0,0,0
1,1,1,0,0,1,0,1,1,0
1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1,1,1
1,0,1,1,0,1,0,1,1,0
1,0,1,1,0,1,0,1,1,0
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,0,1,1,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1
1,1,1,0,0,0,1,1,1,1
1,0,0,1,0,1,0,0,0,1
1,1,1,0,0,1,0,1,1,0
0,1,0,1,1,1,1,1,0,0
1,1,1,1,0,1,1,1,1,1
1,1,0,1,0,1,1,1,0,1
1,0,1,1,0,1,1,1,1,0
1,1,0,1,0,1,1,0,0,0
1,1,0,1,0,1,0,0,0,0
1,0,1,1,0,1,0,0,1,0
0,1,1,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1
1,1,1,1,0,1,0,1,1,0
1,1,1,1,0,1,0,1,1,1
1,1,0,1,1,1,1,0,0,1
1,1,1,1,0,1,0,1,1,0
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1,0,1
1,1,1,1,0,1,0,0,1,0
1,1,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1
1,0,1,0,0,0,0,0,0,1
1,1,1,0,0,1,1,0,1,0
1,1,1,1,0,1,1,0,1,0
1,1,1,0,0,1,1,1,0,0
1,1,1,1,0,1,0,0,1,0
1,1,0,1,0,1,0,1,1,0
1,0,0,1,0,0,1,0,0,1
1,0,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,1,0
1,1,1,1,0,1,0,1,0,0
1,1,1,1,0,1,0,1,0,1
1,1,0,0,0,1,0,0,0,1
1,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,1,0,1
1,1,1,1,0,0,0,1,0,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,0,1,0
1,1,1,1,1,1,0,1,1,0
1,1,1,1,0,1,0,1,1,0
1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,1
1,0,1,1,0,1,0,1,1,1
1,1,1,1,0,1,0,1,1,1
1,1,1,1,0,1,0,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,0,1,1,1
1,1,1,1,0,1,0,1,0,1
