Common Terms	Frequency
image	301
left	143
right	142
blue	127
light	118
webb	118
bright	115
white	112
galaxies	108
black	96
center	95
red	94
telescope	90
star	89
stars	87
background	83
galaxy	81
color	79
labeled	78
s	67
top	66
two	65
bottom	65
space	63
orange	63
titled	62
shows	62
showing	57
points	53
small	52
planet	52
bar	51
large	50
o	47
scale	47
graphic	46
compass	46
ring	45
arrows	45
key	45
below	44
there	44
clock	44
side	43
illustration	43
nebula	43
each	41
line	41
has	39
james	39
gas	38
one	37
nircam	37
infographic	36
out	35
yellow	35
spiral	34
rings	34
three	34
images	34
lower	33
dust	33
for	32
glowing	32
it	31
spikes	31
graph	31
wavelength	31
different	31
core	30
disk	30
view	29
appears	28
scattered	27
cloud	27
dark	27
diffraction	27
arrow	27
filters	27
around	27
spectrum	27
brightness	27
pink	26
toward	26
upper	26
dots	25
green	25
mostly	25
mirror	25
appear	24
or	24
field	24
box	24
throughout	23
outer	23
more	22
extending	22
distant	22
2	21
up	21
arms	21
area	21
cluster	21
de	21
sphere	20
horizontal	20
various	20
spot	20
many	20
few	20
above	20
shapes	20
time	20
between	20
across	19
smaller	19
region	19
while	19
microns	19
lines	19
some	19
representing	19
colors	19
these	18
within	18
clouds	18
also	18
hubble	18
exoplanet	18
used	18
most	17
thin	17
but	17
central	17
b	17
filter	17
seen	17
material	17
colorful	17
middle	16
shades	16
several	16
panel	16
about	16
nirspec	16
vertical	16
indicating	16
create	16
wispy	16
miri	16
sizes	16
oval	16
protostar	16
contains	15
point	15
like	15
very	15
north	15
were	15
assigned	15
surrounding	15
la	15
dense	14
four	14
diagram	14
data	14
spectra	14
they	14
sky	14
east	14
el	14
rocky	14
direction	14
thousands	14
active	14
object	14
fuzzy	13
features	13
through	13
off	13
foreground	13
blocked	13
other	13
inner	13
gap	13
text	13
supermassive	13
dot	13
purple	13
3	13
pillars	13
deep	12
larger	12
square	12
first	12
label	12
takes	12
just	12
show	12
1	12
orientation	12
versus	12
structure	12
extremely	12
circle	12
spectroscopy	12
primary	12
second	11
colored	11
ngc	11
another	11
atmosphere	11
brighter	11
faint	11
have	11
elements	11
8	11
portion	11
than	11
shape	11
tiny	11
holes	11
infrared	11
10	11
moon	11
size	11
y	11
range	11
darker	10
along	10
southern	10
description	10
details	10
filled	10
same	10
dwarf	10
hundreds	10
be	10
long	10
others	10
boxes	10
prominent	10
all	10
saturn	10
instrument	10
water	10
surface	10
5	10
greenish	10
neptune	10
sunshield	10
undulating	9
cloudscape	9
edges	9
third	9
circular	9
both	9
length	9
slightly	9
eight	9
represent	9
half	9
outside	9
part	9
cavity	9
objects	9
emission	9
science	9
hole	9
after	9
labels	9
narrow	9
quasar	9
filaments	9
brown	9
en	9
starscape	8
earth	8
diffuse	8
extends	8
squares	8
reads	8
angle	8
wisps	8
entirety	8
smattering	8
comparison	8
form	8
plotted	8
model	8
where	8
components	8
gray	8
distorted	8
outlined	8
6	8
reference	8
